run_id,stage,candidate,shape_id,category,local_rows,K,N,q,window,repetition,exit_code,case_dir,timestamp_utc
stage1_A_DEFAULT_S5_m4096k4096n1024_q2w0_rep5,A,DEFAULT,S5,comm_heavy,4096,4096,1024,2,0,5,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S5_m4096k4096n1024_q2w0_rep5,2026-09-03T02:07:40Z
stage1_A_DEFAULT_S5_m4096k4096n1024_q4w0_rep1,A,DEFAULT,S5,comm_heavy,4096,4096,1024,4,0,1,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S5_m4096k4096n1024_q4w0_rep1,2026-09-03T02:08:01Z
stage1_A_DEFAULT_S5_m4096k4096n1024_q4w0_rep2,A,DEFAULT,S5,comm_heavy,4096,4096,1024,4,0,2,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S5_m4096k4096n1024_q4w0_rep2,2026-09-03T02:08:22Z
stage1_A_DEFAULT_S5_m4096k4096n1024_q4w0_rep3,A,DEFAULT,S5,comm_heavy,4096,4096,1024,4,0,3,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S5_m4096k4096n1024_q4w0_rep3,2026-09-03T02:08:44Z
stage1_A_DEFAULT_S5_m4096k4096n1024_q4w0_rep4,A,DEFAULT,S5,comm_heavy,4096,4096,1024,4,0,4,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S5_m4096k4096n1024_q4w0_rep4,2026-09-03T02:09:06Z
stage1_A_DEFAULT_S5_m4096k4096n1024_q4w0_rep5,A,DEFAULT,S5,comm_heavy,4096,4096,1024,4,0,5,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S5_m4096k4096n1024_q4w0_rep5,2026-09-03T02:09:27Z
stage1_A_DEFAULT_S5_m4096k4096n1024_q8w0_rep1,A,DEFAULT,S5,comm_heavy,4096,4096,1024,8,0,1,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S5_m4096k4096n1024_q8w0_rep1,2026-09-03T02:09:48Z
stage1_A_DEFAULT_S5_m4096k4096n1024_q8w0_rep2,A,DEFAULT,S5,comm_heavy,4096,4096,1024,8,0,2,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S5_m4096k4096n1024_q8w0_rep2,2026-09-03T02:10:10Z
stage1_A_DEFAULT_S5_m4096k4096n1024_q8w0_rep3,A,DEFAULT,S5,comm_heavy,4096,4096,1024,8,0,3,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S5_m4096k4096n1024_q8w0_rep3,2026-09-03T02:10:31Z
stage1_A_DEFAULT_S5_m4096k4096n1024_q8w0_rep4,A,DEFAULT,S5,comm_heavy,4096,4096,1024,8,0,4,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S5_m4096k4096n1024_q8w0_rep4,2026-09-03T02:10:52Z
stage1_A_DEFAULT_S5_m4096k4096n1024_q8w0_rep5,A,DEFAULT,S5,comm_heavy,4096,4096,1024,8,0,5,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S5_m4096k4096n1024_q8w0_rep5,2026-09-03T02:11:13Z
stage1_A_DEFAULT_S5_m4096k4096n1024_q16w0_rep1,A,DEFAULT,S5,comm_heavy,4096,4096,1024,16,0,1,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S5_m4096k4096n1024_q16w0_rep1,2026-09-03T02:11:35Z
stage1_A_DEFAULT_S5_m4096k4096n1024_q16w0_rep2,A,DEFAULT,S5,comm_heavy,4096,4096,1024,16,0,2,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S5_m4096k4096n1024_q16w0_rep2,2026-09-03T02:11:57Z
stage1_A_DEFAULT_S5_m4096k4096n1024_q16w0_rep3,A,DEFAULT,S5,comm_heavy,4096,4096,1024,16,0,3,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S5_m4096k4096n1024_q16w0_rep3,2026-09-03T02:12:19Z
stage1_A_DEFAULT_S5_m4096k4096n1024_q16w0_rep4,A,DEFAULT,S5,comm_heavy,4096,4096,1024,16,0,4,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S5_m4096k4096n1024_q16w0_rep4,2026-09-03T02:12:40Z
stage1_A_DEFAULT_S5_m4096k4096n1024_q16w0_rep5,A,DEFAULT,S5,comm_heavy,4096,4096,1024,16,0,5,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S5_m4096k4096n1024_q16w0_rep5,2026-09-03T02:13:01Z
stage1_A_DEFAULT_S4_m512k4096n4096_q1w0_rep1,A,DEFAULT,S4,balanced,512,4096,4096,1,0,1,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S4_m512k4096n4096_q1w0_rep1,2026-09-03T02:13:14Z
stage1_A_DEFAULT_S4_m512k4096n4096_q1w0_rep2,A,DEFAULT,S4,balanced,512,4096,4096,1,0,2,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S4_m512k4096n4096_q1w0_rep2,2026-09-03T02:13:28Z
stage1_A_DEFAULT_S4_m512k4096n4096_q1w0_rep3,A,DEFAULT,S4,balanced,512,4096,4096,1,0,3,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S4_m512k4096n4096_q1w0_rep3,2026-09-03T02:13:41Z
stage1_A_DEFAULT_S4_m512k4096n4096_q1w0_rep4,A,DEFAULT,S4,balanced,512,4096,4096,1,0,4,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S4_m512k4096n4096_q1w0_rep4,2026-09-03T02:13:54Z
stage1_A_DEFAULT_S4_m512k4096n4096_q1w0_rep5,A,DEFAULT,S4,balanced,512,4096,4096,1,0,5,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S4_m512k4096n4096_q1w0_rep5,2026-09-03T02:14:07Z
stage1_A_DEFAULT_S4_m512k4096n4096_q2w0_rep1,A,DEFAULT,S4,balanced,512,4096,4096,2,0,1,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S4_m512k4096n4096_q2w0_rep1,2026-09-03T02:14:20Z
stage1_A_DEFAULT_S4_m512k4096n4096_q2w0_rep2,A,DEFAULT,S4,balanced,512,4096,4096,2,0,2,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S4_m512k4096n4096_q2w0_rep2,2026-09-03T02:14:33Z
stage1_A_DEFAULT_S4_m512k4096n4096_q2w0_rep3,A,DEFAULT,S4,balanced,512,4096,4096,2,0,3,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S4_m512k4096n4096_q2w0_rep3,2026-09-03T02:14:47Z
stage1_A_DEFAULT_S4_m512k4096n4096_q2w0_rep4,A,DEFAULT,S4,balanced,512,4096,4096,2,0,4,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S4_m512k4096n4096_q2w0_rep4,2026-09-03T02:15:00Z
stage1_A_DEFAULT_S4_m512k4096n4096_q2w0_rep5,A,DEFAULT,S4,balanced,512,4096,4096,2,0,5,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S4_m512k4096n4096_q2w0_rep5,2026-09-03T02:15:13Z
stage1_A_DEFAULT_S4_m512k4096n4096_q4w0_rep1,A,DEFAULT,S4,balanced,512,4096,4096,4,0,1,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S4_m512k4096n4096_q4w0_rep1,2026-09-03T02:15:26Z
stage1_A_DEFAULT_S4_m512k4096n4096_q4w0_rep2,A,DEFAULT,S4,balanced,512,4096,4096,4,0,2,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S4_m512k4096n4096_q4w0_rep2,2026-09-03T02:15:39Z
stage1_A_DEFAULT_S4_m512k4096n4096_q4w0_rep3,A,DEFAULT,S4,balanced,512,4096,4096,4,0,3,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S4_m512k4096n4096_q4w0_rep3,2026-09-03T02:15:52Z
stage1_A_DEFAULT_S4_m512k4096n4096_q4w0_rep4,A,DEFAULT,S4,balanced,512,4096,4096,4,0,4,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S4_m512k4096n4096_q4w0_rep4,2026-09-03T02:16:05Z
