stage,candidate,shape_id,category,local_rows,K,N,q,window,repetition,strategy,status,correctness,M_global,slice_bytes,release_first_mean_us,release_last_mean_us,done_mean_us,gemm_first_mean_us,gemm_last_mean_us,e2e_mean_us,e2e_p50_us,e2e_p95_us,run_id
A,DEFAULT,S1,comm_heavy,4096,512,512,8,0,5,B1_SLICE_SERIAL,PASS,1,16384,4194304,1422.17279613,3820.48834801,3822.05952168,1424.21823144,3855.8924675,3857.59231567,3765.24806023,4516.86382294,stage1_A_DEFAULT_S1_m4096k512n512_q8w0_rep5
A,DEFAULT,S1,comm_heavy,4096,512,512,8,0,5,B2_SLICE_EVENT_OVERLAP,PASS,1,16384,4194304,1267.67039359,3455.10784626,3456.63103104,1269.71520424,3490.30014038,3491.97951794,3363.84010315,4209.66386795,stage1_A_DEFAULT_S1_m4096k512n512_q8w0_rep5
A,DEFAULT,S1,comm_heavy,4096,512,512,16,0,1,B0_FULL_SERIAL,PASS,1,16384,2097152,3276.80256605,3276.80256605,3278.67968321,3280.40001154,3476.89470768,3478.74879837,3434.4959259,3981.31203651,stage1_A_DEFAULT_S1_m4096k512n512_q16w0_rep1
A,DEFAULT,S1,comm_heavy,4096,512,512,16,0,1,B1_SLICE_SERIAL,PASS,1,16384,2097152,1287.57759809,4401.39968872,4403.26141834,1289.74847972,4436.52097225,4438.2003355,4375.55217743,5248.00014496,stage1_A_DEFAULT_S1_m4096k512n512_q16w0_rep1
A,DEFAULT,S1,comm_heavy,4096,512,512,16,0,1,B2_SLICE_EVENT_OVERLAP,PASS,1,16384,2097152,1212.98432052,3869.95774746,3871.77981853,1215.48287988,3904.89599228,3906.61631107,3830.78408241,4407.29618073,stage1_A_DEFAULT_S1_m4096k512n512_q16w0_rep1
A,DEFAULT,S1,comm_heavy,4096,512,512,16,0,2,B0_FULL_SERIAL,PASS,1,16384,2097152,3825.19936085,3825.19936085,3826.78654194,3828.34303379,4031.70237541,4033.30685616,3747.83992767,4737.02383041,stage1_A_DEFAULT_S1_m4096k512n512_q16w0_rep2
A,DEFAULT,S1,comm_heavy,4096,512,512,16,0,2,B1_SLICE_SERIAL,PASS,1,16384,2097152,1250.9126389,4640.25854588,4641.86623573,1252.95872211,4673.81501198,4675.47390938,4482.04803467,5361.66381836,stage1_A_DEFAULT_S1_m4096k512n512_q16w0_rep2
A,DEFAULT,S1,comm_heavy,4096,512,512,16,0,2,B2_SLICE_EVENT_OVERLAP,PASS,1,16384,2097152,1118.26624453,4094.34114456,4095.91104984,1120.33087552,4128.04415703,4129.60062981,3900.41589737,4818.94397736,stage1_A_DEFAULT_S1_m4096k512n512_q16w0_rep2
A,DEFAULT,S1,comm_heavy,4096,512,512,16,0,3,B0_FULL_SERIAL,PASS,1,16384,2097152,3438.67904663,3438.67904663,3440.53183556,3442.4159956,3636.90815449,3638.7782383,3533.82396698,4122.62392044,stage1_A_DEFAULT_S1_m4096k512n512_q16w0_rep3
A,DEFAULT,S1,comm_heavy,4096,512,512,16,0,3,B1_SLICE_SERIAL,PASS,1,16384,2097152,1354.14784551,4609.76193428,4614.21439648,1356.27775967,4648.92802238,4650.73024273,4586.49587631,5253.11994553,stage1_A_DEFAULT_S1_m4096k512n512_q16w0_rep3
A,DEFAULT,S1,comm_heavy,4096,512,512,16,0,3,B2_SLICE_EVENT_OVERLAP,PASS,1,16384,2097152,1256.34623945,4140.07358074,4141.87325001,1258.84223759,4174.94845867,4176.73023224,4125.69618225,4807.68013,stage1_A_DEFAULT_S1_m4096k512n512_q16w0_rep3
A,DEFAULT,S1,comm_heavy,4096,512,512,16,0,4,B0_FULL_SERIAL,PASS,1,16384,2097152,3338.54785204,3338.54785204,3340.40385008,3342.22655535,3540.24193764,3542.11137295,3360.76807976,4202.49605179,stage1_A_DEFAULT_S1_m4096k512n512_q16w0_rep4
A,DEFAULT,S1,comm_heavy,4096,512,512,16,0,4,B1_SLICE_SERIAL,PASS,1,16384,2097152,1248.21439683,4302.27393627,4304.1971302,1250.46336055,4336.61693573,4342.22844124,4174.84807968,4929.53586578,stage1_A_DEFAULT_S1_m4096k512n512_q16w0_rep4
A,DEFAULT,S1,comm_heavy,4096,512,512,16,0,4,B2_SLICE_EVENT_OVERLAP,PASS,1,16384,2097152,1229.85472918,3860.15038967,3862.06846714,1232.43519992,3894.42686081,3896.2291193,3720.19195557,4423.67982864,stage1_A_DEFAULT_S1_m4096k512n512_q16w0_rep4
A,DEFAULT,S1,comm_heavy,4096,512,512,16,0,5,B0_FULL_SERIAL,PASS,1,16384,2097152,3091.06369257,3091.06369257,3092.90049314,3094.66177225,3292.27519989,3294.17793751,3189.75996971,3872.76792526,stage1_A_DEFAULT_S1_m4096k512n512_q16w0_rep5
A,DEFAULT,S1,comm_heavy,4096,512,512,16,0,5,B1_SLICE_SERIAL,PASS,1,16384,2097152,1124.33023512,4267.6422596,4269.46304321,1126.54080093,4302.62015343,4304.50431347,4388.86404037,4770.8158493,stage1_A_DEFAULT_S1_m4096k512n512_q16w0_rep5
A,DEFAULT,S1,comm_heavy,4096,512,512,16,0,5,B2_SLICE_EVENT_OVERLAP,PASS,1,16384,2097152,1173.74656856,3845.6313324,3847.49181747,1176.40832663,3884.27392006,3886.05567932,3887.10403442,4618.23987961,stage1_A_DEFAULT_S1_m4096k512n512_q16w0_rep5
A,DEFAULT,S2,comm_heavy,2048,1024,2048,1,0,1,B0_FULL_SERIAL,PASS,1,8192,33554432,3604.68286991,3604.68286991,3606.45247459,3608.11134815,4334.47038174,4336.21630669,4496.38414383,5003.23200226,stage1_A_DEFAULT_S2_m2048k1024n2048_q1w0_rep1
A,DEFAULT,S2,comm_heavy,2048,1024,2048,1,0,1,B1_SLICE_SERIAL,PASS,1,8192,33554432,3687.80480385,3687.80480385,3689.45665359,3691.09505177,4567.06559181,4568.72447014,4555.77611923,5027.84013748,stage1_A_DEFAULT_S2_m2048k1024n2048_q1w0_rep1
A,DEFAULT,S2,comm_heavy,2048,1024,2048,1,0,1,B2_SLICE_EVENT_OVERLAP,PASS,1,8192,33554432,3344.38976765,3344.38976765,3346.06400967,3347.68192768,4222.91521549,4224.47168827,4040.7037735,5000.19216537,stage1_A_DEFAULT_S2_m2048k1024n2048_q1w0_rep1
A,DEFAULT,S2,comm_heavy,2048,1024,2048,1,0,2,B0_FULL_SERIAL,PASS,1,8192,33554432,2240.15039921,2240.15039921,2241.88159466,2243.47903728,2963.58466148,2965.25568962,2946.04802132,3222.5279808,stage1_A_DEFAULT_S2_m2048k1024n2048_q1w0_rep2
A,DEFAULT,S2,comm_heavy,2048,1024,2048,1,0,2,B1_SLICE_SERIAL,PASS,1,8192,33554432,2380.8044672,2380.8044672,2382.51070499,2384.06719208,3258.27647209,3259.93535042,3152.89592743,3732.48004913,stage1_A_DEFAULT_S2_m2048k1024n2048_q1w0_rep2
A,DEFAULT,S2,comm_heavy,2048,1024,2048,1,0,2,B2_SLICE_EVENT_OVERLAP,PASS,1,8192,33554432,2404.75390434,2404.75390434,2406.30911827,2407.86559582,3285.29024124,3286.7648077,3130.36799431,5108.73603821,stage1_A_DEFAULT_S2_m2048k1024n2048_q1w0_rep2
A,DEFAULT,S2,comm_heavy,2048,1024,2048,1,0,3,B0_FULL_SERIAL,PASS,1,8192,33554432,4032.31934547,4032.31934547,4034.00126457,4035.82396984,4756.86589241,4758.66559982,4160.51197052,9293.82419586,stage1_A_DEFAULT_S2_m2048k1024n2048_q1w0_rep3
A,DEFAULT,S2,comm_heavy,2048,1024,2048,1,0,3,B1_SLICE_SERIAL,PASS,1,8192,33554432,3579.42207336,3579.42207336,3581.25120163,3583.07393074,4457.8771162,4459.61792946,4462.59212494,5278.71990204,stage1_A_DEFAULT_S2_m2048k1024n2048_q1w0_rep3
A,DEFAULT,S2,comm_heavy,2048,1024,2048,1,0,3,B2_SLICE_EVENT_OVERLAP,PASS,1,8192,33554432,3674.22273159,3674.22273159,3675.96289158,3677.88800716,4552.69119263,4554.57536697,4586.49587631,4829.18405533,stage1_A_DEFAULT_S2_m2048k1024n2048_q1w0_rep3
A,DEFAULT,S2,comm_heavy,2048,1024,2048,1,0,4,B0_FULL_SERIAL,PASS,1,8192,33554432,2903.338871,2903.338871,2904.67647552,2906.33535862,3629.38624382,3630.95872402,3512.32004166,4871.1681366,stage1_A_DEFAULT_S2_m2048k1024n2048_q1w0_rep4
A,DEFAULT,S2,comm_heavy,2048,1024,2048,1,0,4,B1_SLICE_SERIAL,PASS,1,8192,33554432,2883.41758728,2883.41758728,2884.86334324,2886.44030571,3754.79233742,3756.24642372,3671.04005814,4420.60804367,stage1_A_DEFAULT_S2_m2048k1024n2048_q1w0_rep4
A,DEFAULT,S2,comm_heavy,2048,1024,2048,1,0,4,B2_SLICE_EVENT_OVERLAP,PASS,1,8192,33554432,2877.96863556,2877.96863556,2879.58464146,2881.10015392,3747.89567947,3749.5545578,3667.96803474,4103.16801071,stage1_A_DEFAULT_S2_m2048k1024n2048_q1w0_rep4
A,DEFAULT,S2,comm_heavy,2048,1024,2048,1,0,5,B0_FULL_SERIAL,PASS,1,8192,33554432,3847.59232521,3847.59232521,3849.05984402,3850.41152,4585.536623,4586.91328526,4441.98417664,5588.99211884,stage1_A_DEFAULT_S2_m2048k1024n2048_q1w0_rep5
